05-13-2017 | 14:41:39 |   192.168.4.23|user|http://localhost/coupon/public/sign-up/page|insert,users|{"name":"Asif uddin","name_slug":"Asif_uddin","user_type":"client","login_status":0,"status":1,"mobile":"01712345678","email":"","password":"$2y$10$ICvVUYc8M0isKqme.597CeYf2WG6GLr1BTHJtnf73pv8eD99smKYq","created_at":"2017-05-13 14:41:38","updated_at":"2017-05-13 14:41:38"}
05-13-2017 | 14:50:54 |   192.168.4.23|1|http://localhost/coupon/public/dashboard/home-slider/delete-/12|delete,tbl_setting_meta|"12"
05-13-2017 | 14:52:14 |   192.168.4.23|1|http://localhost/coupon/public/dashboard/home-slider|insert,tbl_setting_meta|{"setting_meta_field_name":"home_slider","setting_meta_field_value":"a:2:{i:0;s:34:\"home_slider-1494665533-9906955.jpg\";i:1;s:34:\"home_slider-1494665534-3068033.jpg\";}","setting_meta_status":"1","created_by":1,"updated_by":1,"created_at":"2017-05-13 14:52:13","updated_at":"2017-05-13 14:52:13"}
05-13-2017 | 14:52:48 |   192.168.4.23|1|http://localhost/coupon/public/dashboard/home-slider|insert,tbl_setting_meta|{"setting_meta_field_name":"home_slider","setting_meta_field_value":"a:2:{i:0;s:34:\"home_slider-1494665568-8158365.jpg\";i:1;s:34:\"home_slider-1494665568-7749565.jpg\";}","setting_meta_status":"1","created_by":1,"updated_by":1,"created_at":"2017-05-13 14:52:48","updated_at":"2017-05-13 14:52:48"}
05-13-2017 | 14:53:01 |   192.168.4.23|1|http://localhost/coupon/public/dashboard/home-slider|insert,tbl_setting_meta|{"setting_meta_field_name":"home_slider","setting_meta_field_value":"a:2:{i:0;s:34:\"home_slider-1494665581-2346462.jpg\";i:1;s:34:\"home_slider-1494665581-6613226.jpg\";}","setting_meta_status":"1","created_by":1,"updated_by":1,"created_at":"2017-05-13 14:53:01","updated_at":"2017-05-13 14:53:01"}
05-13-2017 | 14:53:37 |   192.168.4.23|1|http://localhost/coupon/public/dashboard/home-slider|insert,tbl_setting_meta|{"setting_meta_field_name":"home_slider","setting_meta_field_value":"a:2:{i:0;s:34:\"home_slider-1494665616-8639594.jpg\";i:1;s:34:\"home_slider-1494665617-7147894.jpg\";}","setting_meta_status":"1","created_by":1,"updated_by":1,"created_at":"2017-05-13 14:53:36","updated_at":"2017-05-13 14:53:36"}
05-13-2017 | 14:53:47 |   192.168.4.23|1|http://localhost/coupon/public/dashboard/home-slider/delete-/4|delete,tbl_setting_meta|"4"
05-13-2017 | 14:54:09 |   192.168.4.23|1|http://localhost/coupon/public/dashboard/home-slider|insert,tbl_setting_meta|{"setting_meta_field_name":"home_slider","setting_meta_field_value":"a:2:{i:0;s:34:\"home_slider-1494665648-4142252.jpg\";i:1;s:34:\"home_slider-1494665648-7354329.jpg\";}","setting_meta_status":"1","created_by":1,"updated_by":1,"created_at":"2017-05-13 14:54:08","updated_at":"2017-05-13 14:54:08"}
05-13-2017 | 14:54:37 |   192.168.4.23|1|http://localhost/coupon/public/dashboard/home-slider|insert,tbl_setting_meta|{"setting_meta_field_name":"home_slider","setting_meta_field_value":"a:2:{i:0;s:34:\"home_slider-1494665677-4385308.jpg\";i:1;s:34:\"home_slider-1494665677-7180718.jpg\";}","setting_meta_status":"1","created_by":1,"updated_by":1,"created_at":"2017-05-13 14:54:37","updated_at":"2017-05-13 14:54:37"}
05-13-2017 | 14:54:55 |   192.168.4.23|1|http://localhost/coupon/public/dashboard/home-slider|insert,tbl_setting_meta|{"setting_meta_field_name":"home_slider","setting_meta_field_value":"a:2:{i:0;s:34:\"home_slider-1494665695-7331814.jpg\";i:1;s:34:\"home_slider-1494665695-8627658.jpg\";}","setting_meta_status":"1","created_by":1,"updated_by":1,"created_at":"2017-05-13 14:54:55","updated_at":"2017-05-13 14:54:55"}
05-13-2017 | 14:55:05 |   192.168.4.23|1|http://localhost/coupon/public/dashboard/home-slider|insert,tbl_setting_meta|{"setting_meta_field_name":"home_slider","setting_meta_field_value":"a:2:{i:0;s:34:\"home_slider-1494665705-3662651.jpg\";i:1;s:34:\"home_slider-1494665705-5077853.jpg\";}","setting_meta_status":"1","created_by":1,"updated_by":1,"created_at":"2017-05-13 14:55:05","updated_at":"2017-05-13 14:55:05"}
05-13-2017 | 14:55:14 |   192.168.4.23|1|http://localhost/coupon/public/dashboard/home-slider|insert,tbl_setting_meta|{"setting_meta_field_name":"home_slider","setting_meta_field_value":"a:2:{i:0;s:34:\"home_slider-1494665714-4718153.jpg\";i:1;s:34:\"home_slider-1494665714-5266384.jpg\";}","setting_meta_status":"1","created_by":1,"updated_by":1,"created_at":"2017-05-13 14:55:14","updated_at":"2017-05-13 14:55:14"}
05-13-2017 | 14:56:38 |   192.168.4.23|1|http://localhost/coupon/public/dashboard/home-slider|insert,tbl_setting_meta|{"setting_meta_field_name":"home_slider","setting_meta_field_value":"a:2:{i:0;s:34:\"home_slider-1494665798-4969346.jpg\";i:1;s:34:\"home_slider-1494665798-8479817.jpg\";}","setting_meta_status":"1","created_by":1,"updated_by":1,"created_at":"2017-05-13 14:56:38","updated_at":"2017-05-13 14:56:38"}
05-13-2017 | 14:57:00 |   192.168.4.23|1|http://localhost/coupon/public/dashboard/home-slider/change-status/id-9/-1|update,tbl_setting_meta|{"setting_meta_status":"-1","updated_by":1,"updated_at":"2017-05-13 14:57:00"}
05-13-2017 | 14:57:12 |   192.168.4.23|1|http://localhost/coupon/public/dashboard/home-slider/change-status/id-9/1|update,tbl_setting_meta|{"setting_meta_status":"1","updated_by":1,"updated_at":"2017-05-13 14:57:12"}
05-13-2017 | 14:57:23 |   192.168.4.23|1|http://localhost/coupon/public/dashboard/home-slider/change-status/id-9/-1|update,tbl_setting_meta|{"setting_meta_status":"-1","updated_by":1,"updated_at":"2017-05-13 14:57:23"}
05-13-2017 | 16:21:01 |   192.168.4.23|1|http://localhost/coupon/public/dashboard/company/info|update,company_details|{"company_name":"Coupon BD","company_name_slug":"coupon_bd","company_contact":"01912582254","company_email":"coupon@example.com","company_address":"2b  wwe wrbwe  r r teerwre sds    s  g sd  gdf f gfgf  dg dd d d gdds fdsfggdgd  gdfd gsd sd d g","company_location_lat":"324443","company_location_lng":"34343423","updated_at":"2017-05-13 16:21:01","updated_by":null}
05-13-2017 | 16:31:39 |   192.168.4.23|1|http://localhost/coupon/public/dashboard/home-slider/delete-/9|delete,tbl_setting_meta|"9"
05-13-2017 | 16:32:14 |   192.168.4.23|1|http://localhost/coupon/public/dashboard/home-slider/delete-/6|delete,tbl_setting_meta|"6"
05-13-2017 | 16:32:56 |   192.168.4.23|1|http://localhost/coupon/public/dashboard/home-slider|insert,tbl_setting_meta|{"setting_meta_field_name":"home_slider","setting_meta_field_value":"a:2:{i:0;s:34:\"home_slider-1494671576-4708930.jpg\";i:1;s:34:\"home_slider-1494671576-6761067.jpg\";}","setting_meta_status":"1","created_by":1,"updated_by":1,"created_at":"2017-05-13 16:32:56","updated_at":"2017-05-13 16:32:56"}
05-13-2017 | 16:43:45 |   192.168.4.23|1|http://localhost/coupon/public/dashboard/home-slider|insert,tbl_setting_meta|{"setting_meta_field_name":"home_slider","setting_meta_field_value":"a:2:{i:0;s:34:\"home_slider-1494672225-8944498.jpg\";i:1;s:34:\"home_slider-1494672225-4271375.jpg\";}","setting_meta_status":"1","created_by":1,"updated_by":1,"created_at":"2017-05-13 16:43:45","updated_at":"2017-05-13 16:43:45"}
05-13-2017 | 16:44:08 |   192.168.4.23|1|http://localhost/coupon/public/dashboard/home-slider/delete-/12|delete,tbl_setting_meta|"12"
